Число заявок,Дата договора,Тарифный план,Физ/Юр,Тип кл,Дата снятия
3,41234,ДИнт+MVNO 1гр 150 Кр ХФ,Физическое лицо,ШПД Коммерческий,43833
2,43061,БИ 35гр 50 Кр ХФ,Физическое лицо,Единый договор,43835
0,43470,EIPTV Для безлим.впечат.(ХМФ)К,Физическое лицо,Единый договор,43835
4,43470,ДБВ пак+MVNO 1гр 120 К ХФ,Физическое лицо,Единый договор,43835
0,41540,УД ДИнт 1гр 100 Кр ХФ,Физическое лицо,Единый договор,43835
0,41540,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43835
0,39742,DSL БИ 23гр(2) max Кр ХФ,Физическое лицо,ШПД Коммерческий,43825
0,42191,ПП ДБВпак+АВ+MVNO 1гр 120 К ХФ,Физическое лицо,Единый договор,43836
0,42634,newОБИ 21гр 60 Кр ХФ,Физическое лицо,Единый договор,43836
0,41402,ЛИ 35гр 120 Кр ХФ,Физическое лицо,ШПД Коммерческий,43831
0,43103,EIPTV НГ2019-2 (ХМФ)К,Физическое лицо,Единый договор,43836
0,43512,ПН-2 21гр 60 Кр ХФ,Физическое лицо,Единый договор,43836
0,42687,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43836
0,42303,БИ 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43836
1,41053,БИ 21гр 120 Кр ХФ,Физическое лицо,ШПД Коммерческий,43836
0,43650,ДИнт в пак 1гр 150 Кр ХФ,Физическое лицо,Единый договор,43836
0,43650,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43836
0,43277,EIPTV НГ2019-2 (ХМФ)К,Физическое лицо,Единый договор,43836
0,41667,НГ2019 1гр 160 Кр ХФ,Физическое лицо,ШПД Коммерческий,43836
0,42220,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43836
2,42220,БИ 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43836
0,43084,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43836
2,43084,УД Домовой 2017 120 Кр ХФ,Физическое лицо,Единый договор,43836
0,43214,ДИнт в пак 1гр 150 Кр ХФ,Физическое лицо,Единый договор,43836
7,43368,УД Домовой 2018 120 Кр ХФ1,Физическое лицо,Единый договор,43836
6,43398,УД Домовой 2018 120 Кр ХФ1,Физическое лицо,Единый договор,43836
0,43398,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43836
0,42415,EIPTV Пакет навсегда (ХМФ)К,Физическое лицо,ШПД Коммерческий,43836
